DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Longitude,Latitude,LocQual,Source,Comments
1219,Lyon-3010,,,6230,60,,charcoal,Arbutus unedo,88,"Rio Saboccu, Guspini","Structure 2, lower layer",settlement ,8.5702,39.6838,A,Pearce 2013a; BANADORA,
1220,Lyon-3077,,,2260,35,,charcoal,,7969,"Abri Grande-Golette, La Thuile",hearth 1,rock shelter,6.9483,45.7172,A,BANADORA,
1221,Lyon-3120,,,2520,35,,charcoal,,7684,"Incoronata, Pisticci",SOND.3-SECT.1-US 29,settlement,16.55,40.3833,A,BANADORA,
1222,Lyon-3504,,,6405,35,,bone,,9515,"Grotta Cavorso, Jenne-Roma",,cave,13.1739,41.8779,A,BANADORA,
1223,Lyon-4038,,,1865,30,,charcoal,,7958,"Ostia, Fiumicino",TRXXIV 40,harbour,12.2803,41.7533,A,BANADORA,
1224,Lyon-4039,,,1895,35,,wood,,7958,"Ostia, Fiumicino",TRXXIV 30,harbour,12.2803,41.7533,A,BANADORA,
1225,Lyon-4040,,,2040,30,,charcoal,,7958,"Ostia, Fiumicino",TRXXIV 72,harbour,12.2803,41.7533,A,BANADORA,
1226,Lyon-4041,,,2125,30,,organic matter,,7958,"Ostia, Fiumicino",TRXX 83,harbour,12.2803,41.7533,A,BANADORA,
1227,Lyon-4042,,,2125,30,,organic matter,,7958,"Ostia, Fiumicino",S11 - 61,harbour,12.2803,41.7533,A,BANADORA,
1228,Lyon-4043,,,2145,30,,organic matter,,7958,"Ostia, Fiumicino",TRXX 109,harbour,12.2803,41.7533,A,BANADORA,
1229,Lyon-4044,,,2170,30,,organic matter,,7080,"Portus, Fiumicino",S11 - 67,harbour,12.2562,41.7752,A,Goiran et al. 2011,
1230,Lyon-4429,,,2320,30,,organic matter,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,BANADORA,
1231,Lyon-4430,,,5650,35,,charcoal,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,BANADORA,
1232,Lyon-4431,,,3360,30,,organic matter,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,BANADORA,
1233,Lyon-4432,,,2585,30,,organic matter,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,BANADORA,
1234,Lyon-4433,,,2145,30,,charcoal,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,BANADORA,
1235,Lyon-4436,,,2600,30,,charcoal,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,Goiran et al. 2011,
1236,Lyon-5203,,,4775,35,,charcoal,,10888,Grotta Mora Cavorso,,cave,13.1739,41.8779,A,Rolfo et al. 2016,
1237,Lyon-7050,,,3365,30,,charcoal,,9585,"Petit-Saint-Bernard, La Thuile",,settlement,6.8839,45.6803,A,BANADORA,
